id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kelompok_pengeluaran;kode_bulan;bulan_pengeluaran;nilai_inflasi;satuan;tahun
29;32;JAWA BARAT;3271;KOTA BOGOR;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;3;MARET;0,16;PERSEN;2020
30;32;JAWA BARAT;3271;KOTA BOGOR;KESEHATAN;3;MARET;0,14;PERSEN;2020
31;32;JAWA BARAT;3271;KOTA BOGOR;TRANSPORTASI;3;MARET;1,04;PERSEN;2020
32;32;JAWA BARAT;3271;KOTA BOGOR;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;3;MARET;-0,17;PERSEN;2020
33;32;JAWA BARAT;3271;KOTA BOGOR;REKREASI, OLAHRAGA DAN BUDAYA;3;MARET;0,21;PERSEN;2020
34;32;JAWA BARAT;3271;KOTA BOGOR;PENDIDIKAN;3;MARET;0;PERSEN;2020
35;32;JAWA BARAT;3271;KOTA BOGOR;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;3;MARET;0;PERSEN;2020
36;32;JAWA BARAT;3271;KOTA BOGOR;PERAWATAN PRIBADI DA JASA LAINNYA;3;MARET;1,82;PERSEN;2020
37;32;JAWA BARAT;3271;KOTA BOGOR;UMUM;4;APRIL;-0,02;PERSEN;2020
38;32;JAWA BARAT;3271;KOTA BOGOR;MAKANAN, MINUMAN DAN TEMBAKAU;4;APRIL;-0,35;PERSEN;2020
39;32;JAWA BARAT;3271;KOTA BOGOR;PAKAIAN DAN ALAS KAKI;4;APRIL;0,01;PERSEN;2020
40;32;JAWA BARAT;3271;KOTA BOGOR;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;4;APRIL;0;PERSEN;2020
41;32;JAWA BARAT;3271;KOTA BOGOR;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;4;APRIL;0,19;PERSEN;2020
42;32;JAWA BARAT;3271;KOTA BOGOR;KESEHATAN;4;APRIL;0,41;PERSEN;2020
43;32;JAWA BARAT;3271;KOTA BOGOR;TRANSPORTASI;4;APRIL;0,03;PERSEN;2020
44;32;JAWA BARAT;3271;KOTA BOGOR;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;4;APRIL;0;PERSEN;2020
45;32;JAWA BARAT;3271;KOTA BOGOR;REKREASI, OLAHRAGA DAN BUDAYA;4;APRIL;0,07;PERSEN;2020
46;32;JAWA BARAT;3271;KOTA BOGOR;PENDIDIKAN;4;APRIL;0;PERSEN;2020
47;32;JAWA BARAT;3271;KOTA BOGOR;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;4;APRIL;0;PERSEN;2020
48;32;JAWA BARAT;3271;KOTA BOGOR;PERAWATAN PRIBADI DA JASA LAINNYA;4;APRIL;0,99;PERSEN;2020
49;32;JAWA BARAT;3271;KOTA BOGOR;UMUM;5;MEI;0,01;PERSEN;2020
50;32;JAWA BARAT;3271;KOTA BOGOR;MAKANAN, MINUMAN DAN TEMBAKAU;5;MEI;-0,15;PERSEN;2020
51;32;JAWA BARAT;3271;KOTA BOGOR;PAKAIAN DAN ALAS KAKI;5;MEI;0,04;PERSEN;2020
52;32;JAWA BARAT;3271;KOTA BOGOR;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;5;MEI;0;PERSEN;2020
53;32;JAWA BARAT;3271;KOTA BOGOR;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;5;MEI;0,1;PERSEN;2020
54;32;JAWA BARAT;3271;KOTA BOGOR;KESEHATAN;5;MEI;0,1;PERSEN;2020
55;32;JAWA BARAT;3271;KOTA BOGOR;TRANSPORTASI;5;MEI;0;PERSEN;2020
56;32;JAWA BARAT;3271;KOTA BOGOR;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;5;MEI;0;PERSEN;2020
57;32;JAWA BARAT;3271;KOTA BOGOR;REKREASI, OLAHRAGA DAN BUDAYA;5;MEI;0;PERSEN;2020
58;32;JAWA BARAT;3271;KOTA BOGOR;PENDIDIKAN;5;MEI;0;PERSEN;2020
59;32;JAWA BARAT;3271;KOTA BOGOR;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;5;MEI;0;PERSEN;2020
60;32;JAWA BARAT;3271;KOTA BOGOR;PERAWATAN PRIBADI DA JASA LAINNYA;5;MEI;0,71;PERSEN;2020
61;32;JAWA BARAT;3271;KOTA BOGOR;UMUM;6;JUNI;0,27;PERSEN;2020
62;32;JAWA BARAT;3271;KOTA BOGOR;MAKANAN, MINUMAN DAN TEMBAKAU;6;JUNI;1,07;PERSEN;2020
63;32;JAWA BARAT;3271;KOTA BOGOR;PAKAIAN DAN ALAS KAKI;6;JUNI;0,07;PERSEN;2020
64;32;JAWA BARAT;3271;KOTA BOGOR;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;6;JUNI;0;PERSEN;2020
65;32;JAWA BARAT;3271;KOTA BOGOR;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;6;JUNI;0,03;PERSEN;2020
66;32;JAWA BARAT;3271;KOTA BOGOR;KESEHATAN;6;JUNI;0,02;PERSEN;2020
67;32;JAWA BARAT;3271;KOTA BOGOR;TRANSPORTASI;6;JUNI;0,08;PERSEN;2020
68;32;JAWA BARAT;3271;KOTA BOGOR;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;6;JUNI;0,28;PERSEN;2020
69;32;JAWA BARAT;3271;KOTA BOGOR;REKREASI, OLAHRAGA DAN BUDAYA;6;JUNI;0;PERSEN;2020
70;32;JAWA BARAT;3271;KOTA BOGOR;PENDIDIKAN;6;JUNI;0;PERSEN;2020
71;32;JAWA BARAT;3271;KOTA BOGOR;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;6;JUNI;0;PERSEN;2020
72;32;JAWA BARAT;3271;KOTA BOGOR;PERAWATAN PRIBADI DA JASA LAINNYA;6;JUNI;-0,33;PERSEN;2020
73;32;JAWA BARAT;3271;KOTA BOGOR;UMUM;7;JULI;-0,01;PERSEN;2020
74;32;JAWA BARAT;3271;KOTA BOGOR;MAKANAN, MINUMAN DAN TEMBAKAU;7;JULI;-1,1;PERSEN;2020
75;32;JAWA BARAT;3271;KOTA BOGOR;PAKAIAN DAN ALAS KAKI;7;JULI;0,24;PERSEN;2020
76;32;JAWA BARAT;3271;KOTA BOGOR;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;7;JULI;0;PERSEN;2020
77;32;JAWA BARAT;3271;KOTA BOGOR;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;7;JULI;-0,22;PERSEN;2020
78;32;JAWA BARAT;3271;KOTA BOGOR;KESEHATAN;7;JULI;0,03;PERSEN;2020
79;32;JAWA BARAT;3271;KOTA BOGOR;TRANSPORTASI;7;JULI;0,02;PERSEN;2020
80;32;JAWA BARAT;3271;KOTA BOGOR;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;7;JULI;0;PERSEN;2020
81;32;JAWA BARAT;3271;KOTA BOGOR;REKREASI, OLAHRAGA DAN BUDAYA;7;JULI;2;PERSEN;2020
82;32;JAWA BARAT;3271;KOTA BOGOR;PENDIDIKAN;7;JULI;2,6;PERSEN;2020
83;32;JAWA BARAT;3271;KOTA BOGOR;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;7;JULI;0;PERSEN;2020
84;32;JAWA BARAT;3271;KOTA BOGOR;PERAWATAN PRIBADI DA JASA LAINNYA;7;JULI;0,88;PERSEN;2020
85;32;JAWA BARAT;3271;KOTA BOGOR;UMUM;8;AGUSTUS;-0,16;PERSEN;2020
86;32;JAWA BARAT;3271;KOTA BOGOR;MAKANAN, MINUMAN DAN TEMBAKAU;8;AGUSTUS;-1,05;PERSEN;2020
87;32;JAWA BARAT;3271;KOTA BOGOR;PAKAIAN DAN ALAS KAKI;8;AGUSTUS;-0,03;PERSEN;2020
88;32;JAWA BARAT;3271;KOTA BOGOR;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;8;AGUSTUS;0;PERSEN;2020
89;32;JAWA BARAT;3271;KOTA BOGOR;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;8;AGUSTUS;0,25;PERSEN;2020
90;32;JAWA BARAT;3271;KOTA BOGOR;KESEHATAN;8;AGUSTUS;0;PERSEN;2020
91;32;JAWA BARAT;3271;KOTA BOGOR;TRANSPORTASI;8;AGUSTUS;0;PERSEN;2020
92;32;JAWA BARAT;3271;KOTA BOGOR;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;8;AGUSTUS;-0,1;PERSEN;2020
93;32;JAWA BARAT;3271;KOTA BOGOR;REKREASI, OLAHRAGA DAN BUDAYA;8;AGUSTUS;0,1;PERSEN;2020
94;32;JAWA BARAT;3271;KOTA BOGOR;PENDIDIKAN;8;AGUSTUS;0;PERSEN;2020
95;32;JAWA BARAT;3271;KOTA BOGOR;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;8;AGUSTUS;0;PERSEN;2020
96;32;JAWA BARAT;3271;KOTA BOGOR;PERAWATAN PRIBADI DA JASA LAINNYA;8;AGUSTUS;1,96;PERSEN;2020
97;32;JAWA BARAT;3271;KOTA BOGOR;UMUM;9;SEPTEMBER;0,11;PERSEN;2020
98;32;JAWA BARAT;3271;KOTA BOGOR;MAKANAN, MINUMAN DAN TEMBAKAU;9;SEPTEMBER;-0,54;PERSEN;2020
99;32;JAWA BARAT;3271;KOTA BOGOR;PAKAIAN DAN ALAS KAKI;9;SEPTEMBER;0,09;PERSEN;2020
100;32;JAWA BARAT;3271;KOTA BOGOR;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;9;SEPTEMBER;-0,01;PERSEN;2020
101;32;JAWA BARAT;3271;KOTA BOGOR;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;9;SEPTEMBER;0,1;PERSEN;2020
102;32;JAWA BARAT;3271;KOTA BOGOR;KESEHATAN;9;SEPTEMBER;0,07;PERSEN;2020
103;32;JAWA BARAT;3271;KOTA BOGOR;TRANSPORTASI;9;SEPTEMBER;0,07;PERSEN;2020
104;32;JAWA BARAT;3271;KOTA BOGOR;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;9;SEPTEMBER;0,02;PERSEN;2020
105;32;JAWA BARAT;3271;KOTA BOGOR;REKREASI, OLAHRAGA DAN BUDAYA;9;SEPTEMBER;0,29;PERSEN;2020
106;32;JAWA BARAT;3271;KOTA BOGOR;PENDIDIKAN;9;SEPTEMBER;1,07;PERSEN;2020
107;32;JAWA BARAT;3271;KOTA BOGOR;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;9;SEPTEMBER;1,2;PERSEN;2020
108;32;JAWA BARAT;3271;KOTA BOGOR;PERAWATAN PRIBADI DA JASA LAINNYA;9;SEPTEMBER;0,58;PERSEN;2020
109;32;JAWA BARAT;3271;KOTA BOGOR;UMUM;10;OKTOBER;0,13;PERSEN;2020
110;32;JAWA BARAT;3271;KOTA BOGOR;MAKANAN, MINUMAN DAN TEMBAKAU;10;OKTOBER;0,47;PERSEN;2020
111;32;JAWA BARAT;3271;KOTA BOGOR;PAKAIAN DAN ALAS KAKI;10;OKTOBER;0,23;PERSEN;2020
112;32;JAWA BARAT;3271;KOTA BOGOR;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;10;OKTOBER;-0,05;PERSEN;2020
113;32;JAWA BARAT;3271;KOTA BOGOR;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;10;OKTOBER;-0,03;PERSEN;2020
114;32;JAWA BARAT;3271;KOTA BOGOR;KESEHATAN;10;OKTOBER;0,12;PERSEN;2020
115;32;JAWA BARAT;3271;KOTA BOGOR;TRANSPORTASI;10;OKTOBER;0;PERSEN;2020
116;32;JAWA BARAT;3271;KOTA BOGOR;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;10;OKTOBER;0;PERSEN;2020
117;32;JAWA BARAT;3271;KOTA BOGOR;REKREASI, OLAHRAGA DAN BUDAYA;10;OKTOBER;0,2;PERSEN;2020
118;32;JAWA BARAT;3271;KOTA BOGOR;PENDIDIKAN;10;OKTOBER;0;PERSEN;2020
119;32;JAWA BARAT;3271;KOTA BOGOR;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;10;OKTOBER;0,13;PERSEN;2020
120;32;JAWA BARAT;3271;KOTA BOGOR;PERAWATAN PRIBADI DA JASA LAINNYA;10;OKTOBER;0;PERSEN;2020
121;32;JAWA BARAT;3271;KOTA BOGOR;UMUM;11;NOVEMBER;0,32;PERSEN;2020
122;32;JAWA BARAT;3271;KOTA BOGOR;MAKANAN, MINUMAN DAN TEMBAKAU;11;NOVEMBER;1;PERSEN;2020
123;32;JAWA BARAT;3271;KOTA BOGOR;PAKAIAN DAN ALAS KAKI;11;NOVEMBER;0,24;PERSEN;2020
124;32;JAWA BARAT;3271;KOTA BOGOR;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;11;NOVEMBER;-0,04;PERSEN;2020
125;32;JAWA BARAT;3271;KOTA BOGOR;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;11;NOVEMBER;0,14;PERSEN;2020
126;32;JAWA BARAT;3271;KOTA BOGOR;KESEHATAN;11;NOVEMBER;0,15;PERSEN;2020
127;32;JAWA BARAT;3271;KOTA BOGOR;TRANSPORTASI;11;NOVEMBER;0,11;PERSEN;2020
128;32;JAWA BARAT;3271;KOTA BOGOR;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;11;NOVEMBER;0,06;PERSEN;2020
129;32;JAWA BARAT;3271;KOTA BOGOR;REKREASI, OLAHRAGA DAN BUDAYA;11;NOVEMBER;0;PERSEN;2020
130;32;JAWA BARAT;3271;KOTA BOGOR;PENDIDIKAN;11;NOVEMBER;0,01;PERSEN;2020
131;32;JAWA BARAT;3271;KOTA BOGOR;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;11;NOVEMBER;0,38;PERSEN;2020
132;32;JAWA BARAT;3271;KOTA BOGOR;PERAWATAN PRIBADI DA JASA LAINNYA;11;NOVEMBER;0,05;PERSEN;2020
133;32;JAWA BARAT;3271;KOTA BOGOR;UMUM;12;DESEMBER;0,44;PERSEN;2020
134;32;JAWA BARAT;3271;KOTA BOGOR;MAKANAN, MINUMAN DAN TEMBAKAU;12;DESEMBER;1,77;PERSEN;2020
135;32;JAWA BARAT;3271;KOTA BOGOR;PAKAIAN DAN ALAS KAKI;12;DESEMBER;-0,13;PERSEN;2020
136;32;JAWA BARAT;3271;KOTA BOGOR;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;12;DESEMBER;0;PERSEN;2020
137;32;JAWA BARAT;3271;KOTA BOGOR;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;12;DESEMBER;0,08;PERSEN;2020
138;32;JAWA BARAT;3271;KOTA BOGOR;KESEHATAN;12;DESEMBER;0;PERSEN;2020
139;32;JAWA BARAT;3271;KOTA BOGOR;TRANSPORTASI;12;DESEMBER;0;PERSEN;2020
140;32;JAWA BARAT;3271;KOTA BOGOR;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;12;DESEMBER;0;PERSEN;2020
141;32;JAWA BARAT;3271;KOTA BOGOR;REKREASI, OLAHRAGA DAN BUDAYA;12;DESEMBER;0;PERSEN;2020
142;32;JAWA BARAT;3271;KOTA BOGOR;PENDIDIKAN;12;DESEMBER;0;PERSEN;2020
143;32;JAWA BARAT;3271;KOTA BOGOR;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;12;DESEMBER;0,19;PERSEN;2020
144;32;JAWA BARAT;3271;KOTA BOGOR;PERAWATAN PRIBADI DA JASA LAINNYA;12;DESEMBER;-0,17;PERSEN;2020
145;32;JAWA BARAT;3272;KOTA SUKABUMI;UMUM;1;JANUARI;0,42;PERSEN;2020
146;32;JAWA BARAT;3272;KOTA SUKABUMI;MAKANAN, MINUMAN DAN TEMBAKAU;1;JANUARI;1,3;PERSEN;2020
147;32;JAWA BARAT;3272;KOTA SUKABUMI;PAKAIAN DAN ALAS KAKI;1;JANUARI;0,71;PERSEN;2020
148;32;JAWA BARAT;3272;KOTA SUKABUMI;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;1;JANUARI;0,11;PERSEN;2020
149;32;JAWA BARAT;3272;KOTA SUKABUMI;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;1;JANUARI;0,07;PERSEN;2020
150;32;JAWA BARAT;3272;KOTA SUKABUMI;KESEHATAN;1;JANUARI;0,14;PERSEN;2020
151;32;JAWA BARAT;3272;KOTA SUKABUMI;TRANSPORTASI;1;JANUARI;-0,46;PERSEN;2020
152;32;JAWA BARAT;3272;KOTA SUKABUMI;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;1;JANUARI;-0,02;PERSEN;2020
153;32;JAWA BARAT;3272;KOTA SUKABUMI;REKREASI, OLAHRAGA DAN BUDAYA;1;JANUARI;0,15;PERSEN;2020
154;32;JAWA BARAT;3272;KOTA SUKABUMI;PENDIDIKAN;1;JANUARI;0,22;PERSEN;2020
155;32;JAWA BARAT;3272;KOTA SUKABUMI;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;1;JANUARI;0;PERSEN;2020
156;32;JAWA BARAT;3272;KOTA SUKABUMI;PERAWATAN PRIBADI DA JASA LAINNYA;1;JANUARI;-0,06;PERSEN;2020
157;32;JAWA BARAT;3272;KOTA SUKABUMI;UMUM;2;FEBRUARI;0,26;PERSEN;2020
158;32;JAWA BARAT;3272;KOTA SUKABUMI;MAKANAN, MINUMAN DAN TEMBAKAU;2;FEBRUARI;0,49;PERSEN;2020
159;32;JAWA BARAT;3272;KOTA SUKABUMI;PAKAIAN DAN ALAS KAKI;2;FEBRUARI;1,06;PERSEN;2020
160;32;JAWA BARAT;3272;KOTA SUKABUMI;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;2;FEBRUARI;0,21;PERSEN;2020
161;32;JAWA BARAT;3272;KOTA SUKABUMI;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;2;FEBRUARI;0,24;PERSEN;2020
162;32;JAWA BARAT;3272;KOTA SUKABUMI;KESEHATAN;2;FEBRUARI;0;PERSEN;2020
163;32;JAWA BARAT;3272;KOTA SUKABUMI;TRANSPORTASI;2;FEBRUARI;-0,16;PERSEN;2020
164;32;JAWA BARAT;3272;KOTA SUKABUMI;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;2;FEBRUARI;0,06;PERSEN;2020
165;32;JAWA BARAT;3272;KOTA SUKABUMI;REKREASI, OLAHRAGA DAN BUDAYA;2;FEBRUARI;0;PERSEN;2020
166;32;JAWA BARAT;3272;KOTA SUKABUMI;PENDIDIKAN;2;FEBRUARI;0;PERSEN;2020
167;32;JAWA BARAT;3272;KOTA SUKABUMI;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;2;FEBRUARI;0;PERSEN;2020
168;32;JAWA BARAT;3272;KOTA SUKABUMI;PERAWATAN PRIBADI DA JASA LAINNYA;2;FEBRUARI;0,03;PERSEN;2020
169;32;JAWA BARAT;3272;KOTA SUKABUMI;UMUM;3;MARET;0,3;PERSEN;2020
170;32;JAWA BARAT;3272;KOTA SUKABUMI;MAKANAN, MINUMAN DAN TEMBAKAU;3;MARET;0,64;PERSEN;2020
171;32;JAWA BARAT;3272;KOTA SUKABUMI;PAKAIAN DAN ALAS KAKI;3;MARET;1,52;PERSEN;2020
172;32;JAWA BARAT;3272;KOTA SUKABUMI;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;3;MARET;0,05;PERSEN;2020
173;32;JAWA BARAT;3272;KOTA SUKABUMI;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;3;MARET;-0,03;PERSEN;2020
174;32;JAWA BARAT;3272;KOTA SUKABUMI;KESEHATAN;3;MARET;0,03;PERSEN;2020
175;32;JAWA BARAT;3272;KOTA SUKABUMI;TRANSPORTASI;3;MARET;0,01;PERSEN;2020
176;32;JAWA BARAT;3272;KOTA SUKABUMI;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;3;MARET;0;PERSEN;2020
177;32;JAWA BARAT;3272;KOTA SUKABUMI;REKREASI, OLAHRAGA DAN BUDAYA;3;MARET;0;PERSEN;2020
178;32;JAWA BARAT;3272;KOTA SUKABUMI;PENDIDIKAN;3;MARET;0;PERSEN;2020
179;32;JAWA BARAT;3272;KOTA SUKABUMI;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;3;MARET;0;PERSEN;2020
180;32;JAWA BARAT;3272;KOTA SUKABUMI;PERAWATAN PRIBADI DA JASA LAINNYA;3;MARET;0,29;PERSEN;2020
181;32;JAWA BARAT;3272;KOTA SUKABUMI;UMUM;4;APRIL;0,07;PERSEN;2020
182;32;JAWA BARAT;3272;KOTA SUKABUMI;MAKANAN, MINUMAN DAN TEMBAKAU;4;APRIL;0,11;PERSEN;2020
183;32;JAWA BARAT;3272;KOTA SUKABUMI;PAKAIAN DAN ALAS KAKI;4;APRIL;0;PERSEN;2020
184;32;JAWA BARAT;3272;KOTA SUKABUMI;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;4;APRIL;0,11;PERSEN;2020
185;32;JAWA BARAT;3272;KOTA SUKABUMI;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;4;APRIL;0,05;PERSEN;2020
186;32;JAWA BARAT;3272;KOTA SUKABUMI;KESEHATAN;4;APRIL;0;PERSEN;2020
187;32;JAWA BARAT;3272;KOTA SUKABUMI;TRANSPORTASI;4;APRIL;0,01;PERSEN;2020
188;32;JAWA BARAT;3272;KOTA SUKABUMI;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;4;APRIL;0,14;PERSEN;2020
189;32;JAWA BARAT;3272;KOTA SUKABUMI;REKREASI, OLAHRAGA DAN BUDAYA;4;APRIL;0;PERSEN;2020
190;32;JAWA BARAT;3272;KOTA SUKABUMI;PENDIDIKAN;4;APRIL;0;PERSEN;2020
191;32;JAWA BARAT;3272;KOTA SUKABUMI;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;4;APRIL;0;PERSEN;2020
192;32;JAWA BARAT;3272;KOTA SUKABUMI;PERAWATAN PRIBADI DA JASA LAINNYA;4;APRIL;0,13;PERSEN;2020
193;32;JAWA BARAT;3272;KOTA SUKABUMI;UMUM;5;MEI;0,03;PERSEN;2020
194;32;JAWA BARAT;3272;KOTA SUKABUMI;MAKANAN, MINUMAN DAN TEMBAKAU;5;MEI;-0,14;PERSEN;2020
195;32;JAWA BARAT;3272;KOTA SUKABUMI;PAKAIAN DAN ALAS KAKI;5;MEI;0,71;PERSEN;2020
196;32;JAWA BARAT;3272;KOTA SUKABUMI;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;5;MEI;0,12;PERSEN;2020
